nombre,codigo,hexadecimal,libro,cartilla
Yellow Jasmine,AP59-4,EEC74A,Magic-Book-Nuevo,Ambiance Plus-64
Chromatella,AP59-3,FADE78,Magic-Book-Nuevo,Ambiance Plus-64
Lemon White,AP59-2,F8E7A9,Magic-Book-Nuevo,Ambiance Plus-64
Sun Screen,AP59-1,F7ECC0,Magic-Book-Nuevo,Ambiance Plus-64
Yellow Fragrance,AP58-6,FFEBA2,Magic-Book-Nuevo,Ambiance Plus-64
Yellow Pendant,AP58-5,F0DE6D,Magic-Book-Nuevo,Ambiance Plus-64
Sun Miracle,AP58-4,FFD89F,Magic-Book-Nuevo,Ambiance Plus-64
Potenitilla,AP58-3,FEE47A,Magic-Book-Nuevo,Ambiance Plus-64
Slight Embrace,AP58-2,FEEDAA,Magic-Book-Nuevo,Ambiance Plus-64
Hearth Yellow,AP58-1,FFF2BD,Magic-Book-Nuevo,Ambiance Plus-64
Gatepost,AP57-6,D9CAB4,Magic-Book-Nuevo,Ambiance Plus-64
Farm Fence,AP57-5,B2A28E,Magic-Book-Nuevo,Ambiance Plus-64
Tracking Tan,AP57-4,967F63,Magic-Book-Nuevo,Ambiance Plus-64
Bramble Beige,AP57-3,C3B4A1,Magic-Book-Nuevo,Ambiance Plus-64
Quilter S Thread,AP57-2,C0C0C0,Magic-Book-Nuevo,Ambiance Plus-64
Ivory Too,AP57-1,EEE8DC,Magic-Book-Nuevo,Ambiance Plus-64
Foggy Day,AP56-6,D0C3AF,Magic-Book-Nuevo,Ambiance Plus-64
Shipsgate,AP56-5,B3A189,Magic-Book-Nuevo,Ambiance Plus-64
Firewood,AP56-4,887969,Magic-Book-Nuevo,Ambiance Plus-64
Curling Bark,AP56-3,BDAC97,Magic-Book-Nuevo,Ambiance Plus-64
Birch Patina,AP56-2,D9CFC0,Magic-Book-Nuevo,Ambiance Plus-64
Powderey,AP56-1,E2D9CC,Magic-Book-Nuevo,Ambiance Plus-64
Pink Puff,AP5-6,F8E7D9,Magic-Book-Nuevo,Ambiance Plus-64
Crushed Rock,AP55-6,CFC4B6,Magic-Book-Nuevo,Ambiance Plus-64
Field Stone,AP55-5,AD9F8F,Magic-Book-Nuevo,Ambiance Plus-64
Rocky Nook,AP55-4,887969,Magic-Book-Nuevo,Ambiance Plus-64
Graystone,AP55-3,B7AB9D,Magic-Book-Nuevo,Ambiance Plus-64
Windmill White,AP55-2,D6CEC2,Magic-Book-Nuevo,Ambiance Plus-64
Warm Silver,AP55-1,DCD8D0,Magic-Book-Nuevo,Ambiance Plus-64
Autumn White,AP5-5,F9E7D5,Magic-Book-Nuevo,Ambiance Plus-64
Chinchilla,AP54-6,CECAC3,Magic-Book-Nuevo,Ambiance Plus-64
Pewter,AP54-5,AEAAA3,Magic-Book-Nuevo,Ambiance Plus-64
Stormy Sky,AP54-4,958E84,Magic-Book-Nuevo,Ambiance Plus-64
Platinum,AP54-3,BDB9B2,Magic-Book-Nuevo,Ambiance Plus-64
Silver Coin,AP54-2,DCD9D2,Magic-Book-Nuevo,Ambiance Plus-64
Gray Foam,AP54-1,E3E3DD,Magic-Book-Nuevo,Ambiance Plus-64
Bare Blush,AP5-4,F5E7D7,Magic-Book-Nuevo,Ambiance Plus-64
Mature Gray,AP53-6,CAC8C2,Magic-Book-Nuevo,Ambiance Plus-64
Volcanic Ash,AP53-5,A8A5A0,Magic-Book-Nuevo,Ambiance Plus-64
Mysterious Gray,AP53-4,8F8982,Magic-Book-Nuevo,Ambiance Plus-64
Victorian Gray,AP53-3,BAB8B2,Magic-Book-Nuevo,Ambiance Plus-64
Knight'S Armor,AP53-2,D4D2CC,Magic-Book-Nuevo,Ambiance Plus-64
White Castle,AP53-1,DEDCD5,Magic-Book-Nuevo,Ambiance Plus-64
Timid Pink,AP5-3,F8ECDB,Magic-Book-Nuevo,Ambiance Plus-64
Gray Mystic,AP52-6,B8BDBF,Magic-Book-Nuevo,Ambiance Plus-64
Weathervane,AP52-5,83888B,Magic-Book-Nuevo,Ambiance Plus-64
Silhouette Gray,AP52-4,595C5E,Magic-Book-Nuevo,Ambiance Plus-64
Liberty Gray,AP52-3,8D9194,Magic-Book-Nuevo,Ambiance Plus-64
Quarry Pepple,AP52-2,B6BEC0,Magic-Book-Nuevo,Ambiance Plus-64
Sea Salt,AP52-1,D9DCDA,Magic-Book-Nuevo,Ambiance Plus-64
Hush White,AP5-2,F0EFE4,Magic-Book-Nuevo,Ambiance Plus-64
