nombre,codigo,hexadecimal,libro,cartilla
B128-5,B128-5,7abec8,ColourFal Zero,ColorSensations-64
B128-6,B128-6,56a8b3,ColourFal Zero,ColorSensations-64
B128-7,B128-7,338e99,ColourFal Zero,ColorSensations-64
B128-8,B128-8,2a5f67,ColourFal Zero,ColorSensations-64
B129-1,B129-1,dbe5e5,ColourFal Zero,ColorSensations-64
B129-2,B129-2,bfd6dd,ColourFal Zero,ColorSensations-64
B129-3,B129-3,9ebfcd,ColourFal Zero,ColorSensations-64
B129-4,B129-4,90afbe,ColourFal Zero,ColorSensations-64
B129-5,B129-5,7295a6,ColourFal Zero,ColorSensations-64
B129-6,B129-6,638797,ColourFal Zero,ColorSensations-64
B129-7,B129-7,537584,ColourFal Zero,ColorSensations-64
B129-8,B129-8,405059,ColourFal Zero,ColorSensations-64
B130-1,B130-1,e2efea,ColourFal Zero,ColorSensations-64
B130-2,B130-2,c6e7e9,ColourFal Zero,ColorSensations-64
B130-3,B130-3,9ddbe3,ColourFal Zero,ColorSensations-64
B130-4,B130-4,7fcfde,ColourFal Zero,ColorSensations-64
B130-5,B130-5,6ec4d5,ColourFal Zero,ColorSensations-64
B130-6,B130-6,2fadc3,ColourFal Zero,ColorSensations-64
B130-7,B130-7,0097ac,ColourFal Zero,ColorSensations-64
B130-8,B130-8,006482,ColourFal Zero,ColorSensations-64
B131-1,B131-1,d0e7ea,ColourFal Zero,ColorSensations-64
B131-2,B131-2,bfe1e7,ColourFal Zero,ColorSensations-64
B131-3,B131-3,a6d8e4,ColourFal Zero,ColorSensations-64
B131-4,B131-4,8bccdf,ColourFal Zero,ColorSensations-64
B131-5,B131-5,77bed4,ColourFal Zero,ColorSensations-64
B131-6,B131-6,51abc5,ColourFal Zero,ColorSensations-64
B131-7,B131-7,1a8da8,ColourFal Zero,ColorSensations-64
B131-8,B131-8,365668,ColourFal Zero,ColorSensations-64
B132-1,B132-1,dae2e6,ColourFal Zero,ColorSensations-64
B132-2,B132-2,c9d6df,ColourFal Zero,ColorSensations-64
B132-3,B132-3,b6cad8,ColourFal Zero,ColorSensations-64
B132-4,B132-4,93aabd,ColourFal Zero,ColorSensations-64
B132-5,B132-5,7590a7,ColourFal Zero,ColorSensations-64
B132-6,B132-6,6c869b,ColourFal Zero,ColorSensations-64
B132-7,B132-7,587187,ColourFal Zero,ColorSensations-64
B132-8,B132-8,3c4352,ColourFal Zero,ColorSensations-64
B133-1,B133-1,deeae8,ColourFal Zero,ColorSensations-64
B133-2,B133-2,c2e2e8,ColourFal Zero,ColorSensations-64
B133-3,B133-3,9cd3e6,ColourFal Zero,ColorSensations-64
B133-4,B133-4,7bc7e2,ColourFal Zero,ColorSensations-64
