code,name,hex
70RR 13/380,Frambuesa Radical,#a83a45
80RR 10/306,Aroma de Vino,#942a35
70RR 83/040,Salmón Pálido,#ffe4c6
78RR 71/148,Piñón,#ffccb4
78RR 54/274,Cactus Dalia,#ffa596
81RR 47/323,Rosa Tigre,#ff968b
74RR 28/432,Licuado de Frutilla,#ee636b
71RR 23/421,Rosa Espléndido,#dc545f
77RR 16/420,Rosa Osado,#be3644
90RR 83/030,Rosa Puro,#ffe5c7
82RR 76/111,Moño Rosa,#ffd6bc
77RR 67/177,Amor Eterno,#ffc1ac
76RR 40/294,Rosa Silvestre,#f18c83
90RR 31/403,Flamenco Real,#ef706b
90RR 16/386,Brillo de París,#bc4347
83RR 12/377,Morado Intenso,#a32a36
16YR 79/080,Porcelana Rosada,#ffdebd
90RR 69/101,Limonada Rosa,#ffcdb2
90RR 52/214,Muchacha,#fead98
90RR 39/327,Sandía Dulce,#f5877b
